"event_id";"user_id";"event_name";"event_time";"event_order";"device_type";"country";"kyc_status";"error_reason";"row_num"
"EVT_1767573762089_0ywe7nlup";6;"TRANSACTION_FAILED";"06/24/2024 20:06:00";7;"WEB";"UNITED KINGDOM";"failed";"";1
"EVT_1767573762089_38g0nq1ud";7;"SIGNUP";"12/30/2024 02:12:08";1;"ANDROID";"UNITED STATES";"";"";1
"EVT_1767573762089_3eogit77x";8;"SIGNUP";"07/06/2024 04:22:34";3;"MOBILE";"UNITED STATES";"";"";1
"EVT_1767573762089_4roxp3py7";2;"TRANSACTION_FAILED";"11/06/2023 04:20:11";1;"IOS";"USA";"";"";1
"EVT_1767573762089_61a9hrnnp";6;"KYC_SUBMITTED";"06/26/2024 17:30:24";8;"IOS";"INDIA";"Approved";"";1
"EVT_1767573762089_6frhx9uzu";7;"KYC_APPROVED";"12/30/2024 02:12:10";2;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762089_6grxab23e";4;"KYC_SUBMITTED";"09/27/2024 08:32:11";1;"ANDROID";"AUSTRALIA";"";"";1
"EVT_1767573762089_7x1cn192b";3;"EMAIL_VERIFICATION_SENT";"05/30/2024 16:22:14";1;"IOS";"AUSTRALIA";"";"";1
"EVT_1767573762089_8vniwhr26";6;"SIGNUP";"06/22/2024 04:26:59";3;"IOS";"USA";"";"";1
"EVT_1767573762089_ao6cqxyan";6;"KYC_STARTED";"06/22/2024 15:24:53";6;"WEB";"CANADA";"REJECTED";"";1
"EVT_1767573762089_aow3t2bxn";5;"KYC_STARTED";"05/29/2024 04:33:39";1;"IOS";"FRANCE";"";"";1
"EVT_1767573762089_b31pl9jvt";1;"EMAIL_VERIFIED";"08/09/2023 08:30:08";2;"DESKTOP";"UNITED STATES";"";"";1
"EVT_1767573762089_b7lhg1ue7";1;"TRANSACTION_FAILED";"08/09/2023 09:21:47";3;"WEB";"USA";"";"";1
"EVT_1767573762089_bsyx6ywvu";1;"SIGNUP";"08/09/2023 16:26:10";5;"WEB";"CANADA";"REJECTED";"";1
"EVT_1767573762089_e45cgfp3g";2;"TRANSACTION_FAILED";"11/06/2023 06:31:57";7;"DESKTOP";"USA";"";"";1
"EVT_1767573762089_eref7oqkq";1;"KYC_SUBMITTED";"08/09/2023 08:03:39";1;"ANDROID";"FRANCE";"";"";1
"EVT_1767573762089_hrmrjod70";5;"KYC_APPROVED";"05/29/2024 06:09:36";3;"WEB";"UK";"";"";1
"EVT_1767573762089_izrhdahzc";1;"SIGNUP";"08/09/2023 12:31:45";4;"WEB";"USA";"IN_REVIEW";"";1
"EVT_1767573762089_j6glabyya";8;"KYC_STARTED";"07/06/2024 03:25:17";1;"IOS";"USA";"";"";1
"EVT_1767573762089_kl7lcpdhm";5;"SIGNUP";"05/29/2024 04:41:18";2;"ANDROID";"CANADA";"";"";1
"EVT_1767573762089_lxa9b9fkm";6;"TRANSACTION_FAILED";"06/22/2024 02:14:55";1;"MOBILE";"FRANCE";"";"";1
"EVT_1767573762089_ogyhq2xup";7;"EMAIL_VERIFIED";"12/30/2024 02:36:01";3;"MOBILE";"BRAZIL";"";"";1
"EVT_1767573762089_t2scukxth";2;"FIRST_TRANSACTION_INITIATED";"11/06/2023 04:41:37";2;"MOBILE";"GERMANY";"";"";1
"EVT_1767573762089_to8mfu3qe";6;"KYC_SUBMITTED";"06/26/2024 17:32:14";9;"WEB";"INDIA";"REJECTED";"";1
"EVT_1767573762089_uxrnl343j";6;"KYC_APPROVED";"06/22/2024 15:07:34";5;"IOS";"USA";"rejected";"";1
"EVT_1767573762089_uzvpqdwou";4;"KYC_SUBMITTED";"09/27/2024 08:50:59";2;"DESKTOP";"INDIA";"";"";1
"EVT_1767573762089_vlidzf5js";6;"KYC_SUBMITTED";"06/22/2024 02:38:02";2;"ANDROID";"JAPAN";"";"";1
"EVT_1767573762089_vnhoyr414";5;"SIGNUP";"05/30/2024 02:32:53";4;"MOBILE";"BRAZIL";"IN_REVIEW";"";1
"EVT_1767573762089_vz29qqhlb";4;"SIGNUP";"09/27/2024 09:47:15";3;"WEB";"JAPAN";"";"";1
"EVT_1767573762089_wd96mly2e";1;"KYC_STARTED";"08/10/2023 05:44:09";7;"ANDROID";"USA";"under_review";"information_mismatch";1
"EVT_1767573762089_xm4kiqa6v";1;"KYC_APPROVED";"08/09/2023 16:30:18";6;"WEB";"FRANCE";"failed";"";1
"EVT_1767573762089_yocazf27h";6;"TRANSACTION_FAILED";"06/22/2024 12:26:33";4;"WEB";"CANADA";"IN_REVIEW";"";1
"EVT_1767573762089_zljbfvgix";8;"SIGNUP";"07/06/2024 03:30:28";2;"DESKTOP";"UK";"";"";1
"EVT_1767573762090_0332ye052";22;"KYC_DOCUMENT_UPLOADED";"11/21/2023 13:03:57";1;"IOS";"INDIA";"";"";1
"EVT_1767573762090_08u0xjgyg";52;"TRANSACTION_FAILED";"12/18/2023 23:03:47";1;"WEB";"INDIA";"";"";1
"EVT_1767573762090_0be36y0zm";71;"KYC_REJECTED";"09/05/2023 10:08:58";4;"ANDROID";"INDIA";"REJECTED";"";1
"EVT_1767573762090_0cil1h7ou";72;"SIGNUP";"10/02/2024 12:51:27";1;"MOBILE";"JAPAN";"";"document_unclear";1
"EVT_1767573762090_0dv50x0al";47;"SIGNUP";"12/16/2023 19:47:23";4;"DESKTOP";"FRANCE";"in_review";"";1
"EVT_1767573762090_0npwf92vn";54;"KYC_SUBMITTED";"05/22/2023 19:28:27";1;"ANDROID";"INDIA";"";"";1
"EVT_1767573762090_0omg7dnh5";39;"KYC_APPROVED";"12/05/2024 09:58:05";1;"ANDROID";"UNITED STATES";"";"";1
"EVT_1767573762090_0sdg7v553";24;"KYC_SUBMITTED";"08/14/2023 08:57:32";7;"ANDROID";"CANADA";"Pending";"";1
"EVT_1767573762090_0yts6olz2";14;"KYC_STARTED";"02/08/2024 13:30:17";1;"IOS";"FRANCE";"";"";1
"EVT_1767573762090_10llpnuqd";71;"EMAIL_VERIFICATION_SENT";"09/07/2023 08:27:11";7;"MOBILE";"FRANCE";"Rejected ";"";1
"EVT_1767573762090_10vb74ctw";47;"EMAIL_VERIFICATION_SENT";"12/19/2023 10:00:11";8;"WEB";"UK";"under_review";"";1
"EVT_1767573762090_16wlp3qog";75;"KYC_STARTED";"12/18/2023 04:07:46";3;"ANDROID";"GERMANY";"";"";1
"EVT_1767573762090_1hizpqjst";10;"KYC_APPROVED";"04/19/2023 17:33:42";1;"WEB";"SINGAPORE";"";"";1
"EVT_1767573762090_1ob2io5u7";71;"TRANSACTION_FAILED";"09/08/2023 06:36:08";8;"IOS";"USA";"Rejected ";"";1
"EVT_1767573762090_1q1ih4hoz";30;"KYC_DOCUMENT_UPLOADED";"08/12/2024 00:25:29";1;"ANDROID";"GERMANY";"";"";1
